chunk_id,embedding_index
doc00073_chunk019,1081
doc00073_chunk020,1082
doc00073_chunk021,1083
doc00073_chunk022,1084
doc00073_chunk023,1085
doc00073_chunk024,1086
doc00073_chunk025,1087
doc00073_chunk026,1088
doc00073_chunk027,1089
doc00074_chunk000,1090
doc00074_chunk001,1091
doc00074_chunk002,1092
doc00074_chunk003,1093
doc00074_chunk004,1094
doc00074_chunk005,1095
doc00074_chunk006,1096
doc00074_chunk007,1097
doc00074_chunk008,1098
doc00074_chunk009,1099
doc00074_chunk010,1100
doc00074_chunk011,1101
doc00074_chunk012,1102
doc00074_chunk013,1103
doc00074_chunk014,1104
doc00074_chunk015,1105
doc00074_chunk016,1106
doc00074_chunk017,1107
doc00075_chunk000,1108
doc00075_chunk001,1109
doc00075_chunk002,1110
doc00075_chunk003,1111
doc00075_chunk004,1112
doc00075_chunk005,1113
doc00075_chunk006,1114
doc00075_chunk007,1115
doc00075_chunk008,1116
doc00075_chunk009,1117
doc00075_chunk010,1118
doc00075_chunk011,1119
doc00075_chunk012,1120
doc00075_chunk013,1121
doc00075_chunk014,1122
doc00075_chunk015,1123
doc00075_chunk016,1124
doc00075_chunk017,1125
doc00075_chunk018,1126
doc00075_chunk019,1127
doc00075_chunk020,1128
doc00075_chunk021,1129
doc00075_chunk022,1130
doc00075_chunk023,1131
doc00076_chunk000,1132
doc00076_chunk001,1133
doc00076_chunk002,1134
doc00076_chunk003,1135
doc00076_chunk004,1136
doc00076_chunk005,1137
doc00076_chunk006,1138
doc00076_chunk007,1139
doc00076_chunk008,1140
doc00076_chunk009,1141
doc00076_chunk010,1142
doc00076_chunk011,1143
doc00076_chunk012,1144
doc00076_chunk013,1145
doc00076_chunk014,1146
